sha,message,author,committer,url,total_changes,organization,repository
b29fb66e8cc834652118d6a88a14a96f099ae116,perf(geoarrow-array): Improve perf of `from_wkb`/`from_wkt` when parsing to WKB/WKT output types (#1313),Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/b29fb66e8cc834652118d6a88a14a96f099ae116,72,geoarrow,geoarrow-rs
aa27ea472a25f5cc605f1feaca754c19e8682e90,"feat(geoarrow-csv): Initial CSV reader, wrapping upstream arrow-csv (#1050)",Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/aa27ea472a25f5cc605f1feaca754c19e8682e90,627,geoarrow,geoarrow-rs
43d559be02bf6a0cb96fd447038f0a54f2f1c3c9,feat(geodatafusion): ST_Length (#1311),Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/43d559be02bf6a0cb96fd447038f0a54f2f1c3c9,173,geoarrow,geoarrow-rs
71cb69ad6ccd1e12e339565e15f7566195f1dddf,feat(geodatafusion): Smallest POC for reading GeoParquet into DataFusion (#1251),Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/71cb69ad6ccd1e12e339565e15f7566195f1dddf,391,geoarrow,geoarrow-rs
9901109a02a0aa6c4efa5c0e6c1a18a5d78c15a6,feat(geodatafusion-geojson): Add GeoJSON table provider to write to line-delimited GeoJSON (#1309),Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/9901109a02a0aa6c4efa5c0e6c1a18a5d78c15a6,558,geoarrow,geoarrow-rs
5348a1b1405eeca5ffcb6b03311cb796c7816ce8,feat(geoarrow-geojson): GeoJSON writer using arrow-json's new custom encoders (#1040),Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/5348a1b1405eeca5ffcb6b03311cb796c7816ce8,1431,geoarrow,geoarrow-rs
41ebd86faddcd564f5951471e24c5ac38ec4d7da,feat(geodatafusion-flatgeobuf): Enable bounding box pushdown for FlatGeobuf scans (#1295),Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/41ebd86faddcd564f5951471e24c5ac38ec4d7da,159,geoarrow,geoarrow-rs
0bf50c0771f0bcd97f8a6d54e92d9d8ed549302a,feat: add FlatGeobuf sink for DataFusion (#1301),Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/0bf50c0771f0bcd97f8a6d54e92d9d8ed549302a,1226,geoarrow,geoarrow-rs
d9a5be80ec6af5c63f1b4f08319725bb812c6119,"feat(geodatafusion):  `ST_Simplify`, `ST_SimplifyVW`, `ST_SimplifyPreserveTopology` (#1307)",Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/d9a5be80ec6af5c63f1b4f08319725bb812c6119,1962,geoarrow,geoarrow-rs
7dd4d5c352d7c2a255fe5efa6c44723519bb7477,chore: Prepare Python 0.5.1 release (#1306),Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/7dd4d5c352d7c2a255fe5efa6c44723519bb7477,12,geoarrow,geoarrow-rs
8f24ea1d7347d3a981a4b0ff5257e7f3806d7aa2,ci: Build Python 3.13 wheels on Windows (#1305),Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/8f24ea1d7347d3a981a4b0ff5257e7f3806d7aa2,10,geoarrow,geoarrow-rs
7485d0f87c20b223e8c9b3eba54d5dc5cfeb364f,"feat(geodatafusion): `Box3D`, `ST_ZMin`, `ST_ZMax` UDFs (#1299)",Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/7485d0f87c20b223e8c9b3eba54d5dc5cfeb364f,589,geoarrow,geoarrow-rs
dc0b13aaafc2e466188ca921d6348abc9eca6ac7,"feat(geodatafusion): `ST_MakeBox2D`, `ST_3dMakeBox` (#1298)",Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/dc0b13aaafc2e466188ca921d6348abc9eca6ac7,409,geoarrow,geoarrow-rs
f2d9c7f7c0a512252177d06038942e433a99d5c6,chore: Prepare Python 0.5.0 release (#1294),Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/f2d9c7f7c0a512252177d06038942e433a99d5c6,28,geoarrow,geoarrow-rs
722bfb7d7a1b5b03f9eed69b81c86c507b7359c9,chore: Prepare 0.5 release (#1293),Kyle Barron,GitHub,https://github.com/geoarrow/geoarrow-rs/commit/722bfb7d7a1b5b03f9eed69b81c86c507b7359c9,199,geoarrow,geoarrow-rs
