sha,message,author,committer,url,total_changes,organization,repository
30c59435962e26b7029a3951c0cb90f73669e36b,docs: Add git submodule install instructions (#602),Aimee Barciauskas,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/30c59435962e26b7029a3951c0cb90f73669e36b,25,developmentseed,deck.gl-raster
6640457ccf7bb385b98728b98d45cfafce4ac770,refactor!: Flatten `texture` exports from `geotiff/texture.js` (#600),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/6640457ccf7bb385b98728b98d45cfafce4ac770,2,developmentseed,deck.gl-raster
b56f1988da6e3f5a70c5bec2106e32c63ed5356b,fix: Reduce max requests in aef mosaic example (#597),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/b56f1988da6e3f5a70c5bec2106e32c63ed5356b,3,developmentseed,deck.gl-raster
a1a917dbba23e6ffbeecf2bb3c040cd46c169b8c,fix: use direct s3 url for aef-mosaic example (#596),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/a1a917dbba23e6ffbeecf2bb3c040cd46c169b8c,5,developmentseed,deck.gl-raster
c76022c47e8e26fc3fc3d9aa9f23eefb885f2f3f,fix: Restore raw s3 URL instead of data.source.coop URL for ECMWF exa…,Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/c76022c47e8e26fc3fc3d9aa9f23eefb885f2f3f,10,developmentseed,deck.gl-raster
f32e3b0c9c83e0a38bb7bb93a1ad06d44ffbc705,fix: destroy tile textures on eviction (#591) (#594),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/f32e3b0c9c83e0a38bb7bb93a1ad06d44ffbc705,351,developmentseed,deck.gl-raster
3ca5c2a2c4a7008b7e6504b1a8a5cd94f3555cc3,chore: bump to 0.8 beta.2 (#593),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/3ca5c2a2c4a7008b7e6504b1a8a5cd94f3555cc3,22,developmentseed,deck.gl-raster
0e640be310e294a2a29875bb7dc5aab7c5b31837,fix: clamp Web Mercator mesh for south-up affines (#590),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/0e640be310e294a2a29875bb7dc5aab7c5b31837,83,developmentseed,deck.gl-raster
55619f8f15c3e8b8696480f5974d6bd49bcfedf1,chore: Bump to 0.8.0-beta.1 (#588),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/55619f8f15c3e8b8696480f5974d6bd49bcfedf1,25,developmentseed,deck.gl-raster
57d3007e6be71dedfc6900ddf7cd1d312ecc5659,fix: Support parsing ESRI WKT String for ESRI-created custom CRS (#579),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/57d3007e6be71dedfc6900ddf7cd1d312ecc5659,108,developmentseed,deck.gl-raster
2cf36ad48767c92b9831685f70847a9e918f7fc8,feat: NLDAS-3 icechunk example (#577),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/2cf36ad48767c92b9831685f70847a9e918f7fc8,944,developmentseed,deck.gl-raster
a56f2394e3dff90af1ab31c4c57d8ec58960aec5,feat: reprojector initial-triangulation seed + clamp Web Mercator mes…,Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/a56f2394e3dff90af1ab31c4c57d8ec58960aec5,564,developmentseed,deck.gl-raster
8a329b3c74ca1626e310e55aebb25ef0c4cda23a,fix(geotiff): revert ConcurrencyLimiter to a chunkd SourceMiddleware …,Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/8a329b3c74ca1626e310e55aebb25ef0c4cda23a,340,developmentseed,deck.gl-raster
6fbeb5de0a1ec1a60e3288f51039baaeeb207c5a,fix: Use https links for umbra COG (#571),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/6fbeb5de0a1ec1a60e3288f51039baaeeb207c5a,4,developmentseed,deck.gl-raster
e1a8feff7d67739ce3c91fc49a4b612087f2cbb0,feat: per-origin HTTP concurrency limiter for COG layers (#557),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/e1a8feff7d67739ce3c91fc49a4b612087f2cbb0,1629,developmentseed,deck.gl-raster
e538d97d7e58e8bae037069021af92aa5ca85e22,feat: Initial Globe view support (#563),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/e538d97d7e58e8bae037069021af92aa5ca85e22,1205,developmentseed,deck.gl-raster
c8c3daa972850762d9c66f272479c2bb9fd3094c,fix: traverse tiles across world copies (#517) (#518),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/c8c3daa972850762d9c66f272479c2bb9fd3094c,979,developmentseed,deck.gl-raster
c0a22d27acad7212a204f0d60b402e64d688e5fa,fix: Use fp64 emulation to fix lack of precision (jitter) at high zoo…,Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/c0a22d27acad7212a204f0d60b402e64d688e5fa,1583,developmentseed,deck.gl-raster
488790435e4d47a0c136d533b4a86fd365adf43c,fix: Remove NAIP Mosaic caching override (#554),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/488790435e4d47a0c136d533b4a86fd365adf43c,1,developmentseed,deck.gl-raster
57e2389662f72acab936466303d0d44570218ace,docs: Small blog wording (#553),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/57e2389662f72acab936466303d0d44570218ace,4,developmentseed,deck.gl-raster
3ed9d79e6bd4250aa9f631e77988bb546788082c,ci: Fix docs publish by skipping example dirs without a build script …,Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/3ed9d79e6bd4250aa9f631e77988bb546788082c,5,developmentseed,deck.gl-raster
21016c12db0b288223e688bb40137b7f7f2ac99e,chore: prepare 0.7 (#544),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/21016c12db0b288223e688bb40137b7f7f2ac99e,180,developmentseed,deck.gl-raster
d26d038cb5d9f660e2e0c57d4fdd0381cd307231,refactor: Rename `MosaicSource.key` to `MosaicSource.id` (#551),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/d26d038cb5d9f660e2e0c57d4fdd0381cd307231,51,developmentseed,deck.gl-raster
f11f22601ecfd1c7ed35ccfbd5e8791aa8642984,refactor!: Make MosaicTileset2D private (#550),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/f11f22601ecfd1c7ed35ccfbd5e8791aa8642984,567,developmentseed,deck.gl-raster
07d8504d79e366c203819fdd020c366eb6abaa77,"chore: Remove old, unexported GeoTIFFLayer from deck.gl-geotiff packa…",Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/07d8504d79e366c203819fdd020c366eb6abaa77,233,developmentseed,deck.gl-raster
157e6feba46bd0a0e28837ce7607c5ffa3c02547,feat: Spiral out loading (#477),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/157e6feba46bd0a0e28837ce7607c5ffa3c02547,708,developmentseed,deck.gl-raster
8bdcbe97cc7fafa2dfe793838727e3e21b4ba7ea,chore: Move historical zarr plan into dev-docs folder (#548),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/8bdcbe97cc7fafa2dfe793838727e3e21b4ba7ea,0,developmentseed,deck.gl-raster
cf189ccc03bca3759ab31f92fa89a3e1a6b9fa20,chore!: Rename TilesetDescriptor to RasterTilesetDescriptor (#547),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/cf189ccc03bca3759ab31f92fa89a3e1a6b9fa20,298,developmentseed,deck.gl-raster
ac672e9ae3c06dc89132af45769c5a6308daf8bd,feat: Expose onTile callbacks through raster tile layers (#546),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/ac672e9ae3c06dc89132af45769c5a6308daf8bd,96,developmentseed,deck.gl-raster
06c366837c4ccc34384497dbbbb1bc1d3be7468a,perf(raster-layer): avoid re-compiling shader Model as much as possib…,Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/06c366837c4ccc34384497dbbbb1bc1d3be7468a,168,developmentseed,deck.gl-raster
9480a2627f57be9d124284fecee4b0fbe4088907,perf(raster-tileset): Reduce re-renders of RasterLayer for same per-t…,Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/9480a2627f57be9d124284fecee4b0fbe4088907,86,developmentseed,deck.gl-raster
3e05a599686410ee597711df2043b1ff9b475115,fix: `PlanarConfiguration` TIFF tag is not required (#542),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/3e05a599686410ee597711df2043b1ff9b475115,16,developmentseed,deck.gl-raster
3cc97f9520ed023dfa2eb6a1af2a1fb526463980,ci: Explicitly unset NODE_AUTH_TOKEN during publishing (#538),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/3cc97f9520ed023dfa2eb6a1af2a1fb526463980,5,developmentseed,deck.gl-raster
021f946fd27a143050c6812c3b3f787615a4d4eb,ci: Revert version changes to release.yml since 0.6.1 release (#536),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/021f946fd27a143050c6812c3b3f787615a4d4eb,8,developmentseed,deck.gl-raster
c56a4238e29589a771fe458133ca5fc66c942088,ci: Avoid npm caching in publish workflow (#535),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/c56a4238e29589a771fe458133ca5fc66c942088,3,developmentseed,deck.gl-raster
5cea2e3e1fe2d3204515d85bd7968427b226e020,chore: Bump to 0.7.0-beta.1 (#534),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/5cea2e3e1fe2d3204515d85bd7968427b226e020,24,developmentseed,deck.gl-raster
fbd9080c2b0d690e62c0340ab1357729c31fd3b4,feat(mosaic): add explicit `key?: string` to mosaic sources (#533),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/fbd9080c2b0d690e62c0340ab1357729c31fd3b4,99,developmentseed,deck.gl-raster
78b18d96cbcd1658c3864222d6fe14b7211a704e,"feat(geotiff): route fetchTiles through batched, range-coalescing get…",Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/78b18d96cbcd1658c3864222d6fe14b7211a704e,396,developmentseed,deck.gl-raster
7b2bc8016010fdbc2fbc200d5cb4d3d1589a0ed5,feat(geotiff): New internal method to fetch multiple tiles concurrent…,Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/7b2bc8016010fdbc2fbc200d5cb4d3d1589a0ed5,763,developmentseed,deck.gl-raster
22a7ddb74c5afc5ac613f0564a12c8db413c99df,perf(geotiff)!: block-aligned LRU header cache; lazy tile metadata (#…,Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/22a7ddb74c5afc5ac613f0564a12c8db413c99df,499,developmentseed,deck.gl-raster
f750047f6bd9c6c0e9c01f4618b17a0abe9f9433,fix(geotiff): Turn off HTTP request bounds checking (#527),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/f750047f6bd9c6c0e9c01f4618b17a0abe9f9433,124,developmentseed,deck.gl-raster
6f2a009fa8145c71dd829ff40dbbe6c2242f3e91,fix(raster-tileset): memoize tile bounding volumes across traversals …,Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/6f2a009fa8145c71dd829ff40dbbe6c2242f3e91,679,developmentseed,deck.gl-raster
728244fd399a7d886fbc8fdda7d0ea8fabc58c55,feat(examples): migrate remaining examples to the shared component pa…,Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/728244fd399a7d886fbc8fdda7d0ea8fabc58c55,6791,developmentseed,deck.gl-raster
