number,title,type,state,author,url,created_at,updated_at,organization,repository,contributor
141,feat: implement `Array.store_chunks`,PR,closed,kylebarron,https://github.com/developmentseed/zarrista/pull/141,2026-08-04T22:54:05Z,2026-08-05T14:44:44Z,developmentseed,zarrista,d-v-b
142,Clarify docstring on `Array.store_chunks`,Issue,closed,kylebarron,https://github.com/developmentseed/zarrista/issues/142,2026-08-05T14:45:00Z,2026-08-07T19:26:41Z,developmentseed,zarrista,kylebarron
164,docs: Clarify the chunk selection in `store_chunks`,PR,closed,kylebarron,https://github.com/developmentseed/zarrista/pull/164,2026-08-07T18:25:34Z,2026-08-07T19:26:41Z,developmentseed,zarrista,d-v-b
169,bump beta to 0.1.0-beta.8,PR,closed,kylebarron,https://github.com/developmentseed/zarrista/pull/169,2026-08-07T21:27:48Z,2026-08-07T21:30:36Z,developmentseed,zarrista,d-v-b
11232,Maintenance: Support zarr>=3.0,PR,closed,jhamman,https://github.com/pydata/xarray/pull/11232,2026-03-14T16:43:39Z,2026-07-29T22:57:32Z,pydata,xarray,d-v-b
3054,sharding codec use of lru caching fails with numpy void scalars,Issue,closed,d-v-b,https://github.com/zarr-developers/zarr-python/issues/3054,2025-05-13T11:55:48Z,2026-07-29T11:43:08Z,zarr-developers,zarr-python,d-v-b
3352,`zarr.api.asynchronous.open_like` is broken,Issue,closed,d-v-b,https://github.com/zarr-developers/zarr-python/issues/3352,2025-08-06T11:57:09Z,2026-07-28T20:24:10Z,zarr-developers,zarr-python,d-v-b
3709,should we remove support for inline consolidated metadata?,Issue,closed,d-v-b,https://github.com/zarr-developers/zarr-python/issues/3709,2026-02-13T19:10:05Z,2026-07-23T20:12:48Z,zarr-developers,zarr-python,d-v-b
3991,Release Zarr-Python v3.2.2,Issue,closed,d-v-b,https://github.com/zarr-developers/zarr-python/issues/3991,2026-05-20T20:14:10Z,2026-07-16T17:43:49Z,zarr-developers,zarr-python,d-v-b
4076,chore: CI worfklows for linting docs,PR,closed,maxrjones,https://github.com/zarr-developers/zarr-python/pull/4076,2026-06-17T18:25:52Z,2026-07-16T15:30:22Z,zarr-developers,zarr-python,chuckwondo
4086,test_multiprocessing[fork] fails on Python 3.15,Issue,closed,QuLogic,https://github.com/zarr-developers/zarr-python/issues/4086,2026-06-22T05:24:37Z,2026-07-13T19:14:33Z,zarr-developers,zarr-python,d-v-b
4117,fix: skip object store prefix markers in list_dir,PR,closed,AMBRA7592,https://github.com/zarr-developers/zarr-python/pull/4117,2026-07-02T20:39:18Z,2026-07-14T09:48:17Z,zarr-developers,zarr-python,d-v-b
4119,feat(zarr-metadata): Zarr metadata model layer,PR,closed,d-v-b,https://github.com/zarr-developers/zarr-python/pull/4119,2026-07-05T19:49:19Z,2026-07-28T20:06:03Z,zarr-developers,zarr-python,kylebarron
4141,v3 structured dtype serialization drops per-field endianness (silent byte-order loss on metadata roundtrip),Issue,closed,emfdavid,https://github.com/zarr-developers/zarr-python/issues/4141,2026-07-13T05:00:21Z,2026-07-14T11:25:17Z,zarr-developers,zarr-python,d-v-b
4145,chore: add Ilan Gold to the team list,PR,closed,ilan-gold,https://github.com/zarr-developers/zarr-python/pull/4145,2026-07-14T14:59:39Z,2026-07-23T20:38:36Z,zarr-developers,zarr-python,d-v-b
4146,fix: let open_like create arrays by default,PR,closed,goutamadwant,https://github.com/zarr-developers/zarr-python/pull/4146,2026-07-15T00:29:24Z,2026-07-28T20:24:09Z,zarr-developers,zarr-python,d-v-b
