sha,message,author,committer,url,total_changes,organization,repository
c5a96ef0dfff1a64b2f28c0152a1f793e5e29546,feat: add SumMethod to mosaic methods (#922),Henry Rodman,GitHub,https://github.com/cogeotiff/rio-tiler/commit/c5a96ef0dfff1a64b2f28c0152a1f793e5e29546,53,cogeotiff,rio-tiler
9f731b3b4e897f4cfd9ca71d3b3c33c25c8091b7,"fix: In `RasterTileLayer`, allow `renderTile` to return `null` to avoid rendering a layer (#489)",Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/9f731b3b4e897f4cfd9ca71d3b3c33c25c8091b7,39,developmentseed,deck.gl-raster
d93c69633a96d703d2bfe9cd93072f03ad026b09,fix: Try to fix plausible script injection (#488),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/d93c69633a96d703d2bfe9cd93072f03ad026b09,2,developmentseed,deck.gl-raster
186ceae3f7014236eb75726a90e1b575043b5c7a,chore: prepare for 0.6 release (#487),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/186ceae3f7014236eb75726a90e1b575043b5c7a,971,developmentseed,deck.gl-raster
0d63817fc05e8a789749f928034e04712c4943ff,docs: Expose Zarr package through docs site (#486),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/0d63817fc05e8a789749f928034e04712c4943ff,2455,developmentseed,deck.gl-raster
a6445fe1871d3d3ef2f1bd9fce9abeda906dfe5b,fix: Allow `MinimalTileData` to be `null` in RasterTileLayer (#484),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/a6445fe1871d3d3ef2f1bd9fce9abeda906dfe5b,6,developmentseed,deck.gl-raster
322d92afe85aea8f2f9ce6408cde6d1a76e6e50a,feat: Brainstorming for COG GCPs support (#485),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/322d92afe85aea8f2f9ce6408cde6d1a76e6e50a,364,developmentseed,deck.gl-raster
e9e927f64b70faf95aa52edaf829914458a57781,perf: Don't dynamic-import builtin deflate decoder (#483),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/e9e927f64b70faf95aa52edaf829914458a57781,48,developmentseed,deck.gl-raster
c741866358434e0f7e34b68d52674859e3039a57,chore: Bump to 0.6.0-beta.1 (#482),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/c741866358434e0f7e34b68d52674859e3039a57,22,developmentseed,deck.gl-raster
dfabc6ed8fb255c8395fa4cf2f8a13b9584946d5,"chore: Fix `clean` script, fix lockfile (#481)",Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/dfabc6ed8fb255c8395fa4cf2f8a13b9584946d5,730,developmentseed,deck.gl-raster
afb3dd0e17cffa2b2c454284f72061f7277cf039,feat: Split COG tile traversal off TileMatrixSet (#480),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/afb3dd0e17cffa2b2c454284f72061f7277cf039,1199,developmentseed,deck.gl-raster
6f3f1e2b565a19ab695f400d23b79a9e7e9ce60b,chore: Bump vite to v8 (#479),Kyle Barron,GitHub,https://github.com/developmentseed/deck.gl-raster/commit/6f3f1e2b565a19ab695f400d23b79a9e7e9ce60b,607,developmentseed,deck.gl-raster
39c6dc35410375c93d47d1119f059e5316c5451f,chore: correctly describe dimension order in docs (#44),Henry Rodman,GitHub,https://github.com/developmentseed/lazycogs/commit/39c6dc35410375c93d47d1119f059e5316c5451f,18,developmentseed,lazycogs
1fb1844ba9f600edf36986b72ca835fd58f9e360,chore: write specs for a few features (#43),Henry Rodman,GitHub,https://github.com/developmentseed/lazycogs/commit/1fb1844ba9f600edf36986b72ca835fd58f9e360,626,developmentseed,lazycogs
dede83cff9594576e04e47a08e943ce9a3527dab,fix: remove unnecessary lock on duckdb searches (#39),Henry Rodman,GitHub,https://github.com/developmentseed/lazycogs/commit/dede83cff9594576e04e47a08e943ce9a3527dab,95,developmentseed,lazycogs
cf07318c0c2414bf47251de72fde9c2189263d31,fix: rip out fake-async open_async (#37),Henry Rodman,GitHub,https://github.com/developmentseed/lazycogs/commit/cf07318c0c2414bf47251de72fde9c2189263d31,500,developmentseed,lazycogs
5e1964793ec2ddf5bb76944ec1696b8ccc9247ed,"chore: use ALL ruff rules, ignore a few (#34)",Henry Rodman,GitHub,https://github.com/developmentseed/lazycogs/commit/5e1964793ec2ddf5bb76944ec1696b8ccc9247ed,1285,developmentseed,lazycogs
e7c7c3311c6bc9e709c682ce8e3f5ed5980e8ad8,"ci: run tests on Python 3.12, 3.13, 3.14 (#33)",Henry Rodman,GitHub,https://github.com/developmentseed/lazycogs/commit/e7c7c3311c6bc9e709c682ce8e3f5ed5980e8ad8,8,developmentseed,lazycogs
577205da970457c10dfeb9cccc69c8e68d480419,docs: reorganize docs site (#22),Henry Rodman,GitHub,https://github.com/developmentseed/lazycogs/commit/577205da970457c10dfeb9cccc69c8e68d480419,19204,developmentseed,lazycogs
691986a26fea48b1604a02fd2871135f87dee75d,chore: fix broken link,hrodmn,hrodmn,https://github.com/developmentseed/lazycogs/commit/691986a26fea48b1604a02fd2871135f87dee75d,4,developmentseed,lazycogs
2932f6e726d045cb4ce67bf209a9d5599b203027,"chore: add png logo, add badges",hrodmn,hrodmn,https://github.com/developmentseed/lazycogs/commit/2932f6e726d045cb4ce67bf209a9d5599b203027,7,developmentseed,lazycogs
48c0a826aa38f1ab90154a0951176bbdf9578d48,docs: update installation instructions,hrodmn,hrodmn,https://github.com/developmentseed/lazycogs/commit/48c0a826aa38f1ab90154a0951176bbdf9578d48,4,developmentseed,lazycogs
d522ba6ab70dcb588318868261f025719c3b487a,docs: update links in README,hrodmn,hrodmn,https://github.com/developmentseed/lazycogs/commit/d522ba6ab70dcb588318868261f025719c3b487a,8,developmentseed,lazycogs
4b5241d24653a28791f07759a4660d7582f2330c,feat: initial release,hrodmn,hrodmn,https://github.com/developmentseed/lazycogs/commit/4b5241d24653a28791f07759a4660d7582f2330c,4,developmentseed,lazycogs
c358f2dbe7446f0c564501561c98e9253191392e,chore: set up publishing and automated releases,hrodmn,hrodmn,https://github.com/developmentseed/lazycogs/commit/c358f2dbe7446f0c564501561c98e9253191392e,222,developmentseed,lazycogs
114eac8b1d2c7bf5ada8a7ede641f49d5216b657,chore: update repo location,hrodmn,hrodmn,https://github.com/developmentseed/lazycogs/commit/114eac8b1d2c7bf5ada8a7ede641f49d5216b657,24,developmentseed,lazycogs
fb7282af3847fbb398a65e2824987ca251d328dd,refactor: Use upstream deck.gl-raster `RasterTileLayer` (#1183),Kyle Barron,GitHub,https://github.com/developmentseed/lonboard/commit/fb7282af3847fbb398a65e2824987ca251d328dd,298,developmentseed,lonboard
66c50b98a3894064a5ade29f03f746d35eed83c7,chore: Switch to pnpm (#1181),Kyle Barron,GitHub,https://github.com/developmentseed/lonboard/commit/66c50b98a3894064a5ade29f03f746d35eed83c7,22614,developmentseed,lonboard
933699838a6decb7ecd3378dcd7cdfcf0435b669,Doc updates (#49),Sean Harkins,GitHub,https://github.com/developmentseed/zarr-datafusion-search/commit/933699838a6decb7ecd3378dcd7cdfcf0435b669,21,developmentseed,zarr-datafusion-search
394d38ec90e7e6922da1ee95cbbe6bcf88851da4,Example notebooks (#47),Sean Harkins,GitHub,https://github.com/developmentseed/zarr-datafusion-search/commit/394d38ec90e7e6922da1ee95cbbe6bcf88851da4,31994,developmentseed,zarr-datafusion-search
