sha,message,author,committer,url,total_changes,organization,repository
ef2381ebc5646ef27091c4f49d4d85138789f535,Remove broken symlink when building windows wheels (#120),Max Jones,GitHub,https://github.com/developmentseed/async-tiff/commit/ef2381ebc5646ef27091c4f49d4d85138789f535,65,developmentseed,async-tiff
fac684fcd3cb866b64e0f22588283a593433fe57,"ci: Deprecate Python 3.9, add testing on Python 3.13 (#129)",Kyle Barron,GitHub,https://github.com/developmentseed/async-tiff/commit/fac684fcd3cb866b64e0f22588283a593433fe57,1803,developmentseed,async-tiff
1ad420c13451439dfbda5215a9810e6d4918bad7,ci: Fix tag name to initiate rust release (#130),Kyle Barron,GitHub,https://github.com/developmentseed/async-tiff/commit/1ad420c13451439dfbda5215a9810e6d4918bad7,4,developmentseed,async-tiff
3c77377af7909f4740832f503c7e7b8eb576b843,ci: Set up Rust trusted publishing (#128),Kyle Barron,GitHub,https://github.com/developmentseed/async-tiff/commit/3c77377af7909f4740832f503c7e7b8eb576b843,19,developmentseed,async-tiff
270e370ea8ee7ba99415468fc4c6d8b64d37425c,ci: Fix wheel build by switching to pypy 3.11 (#127),Kyle Barron,GitHub,https://github.com/developmentseed/async-tiff/commit/270e370ea8ee7ba99415468fc4c6d8b64d37425c,12,developmentseed,async-tiff
374b72748650675c4f370e00402b2fd8b4216866,chore: Bump python binding version to 0.2.0 (#124),Kyle Barron,GitHub,https://github.com/developmentseed/async-tiff/commit/374b72748650675c4f370e00402b2fd8b4216866,25,developmentseed,async-tiff
9da0d7769bb435f0aa735401786317b5e53433ce,chore: Bump pyo3 to 0.27 (#126),Kyle Barron,GitHub,https://github.com/developmentseed/async-tiff/commit/9da0d7769bb435f0aa735401786317b5e53433ce,72,developmentseed,async-tiff
6397a9aca840bf883ca2ecaf60a08251d25b7dee,chore: Bump _obstore submodule (#125),Kyle Barron,GitHub,https://github.com/developmentseed/async-tiff/commit/6397a9aca840bf883ca2ecaf60a08251d25b7dee,3,developmentseed,async-tiff
512d86b28128fae0bca5997cea4dff2519862d1e,ci: Build abi3 wheels where possible (#123),Kyle Barron,GitHub,https://github.com/developmentseed/async-tiff/commit/512d86b28128fae0bca5997cea4dff2519862d1e,63,developmentseed,async-tiff
b9d802e2d93ea4e20d1953b573478483f5bac041,chore: Bump pyo3 to 0.26 (#121),Kyle Barron,GitHub,https://github.com/developmentseed/async-tiff/commit/b9d802e2d93ea4e20d1953b573478483f5bac041,984,developmentseed,async-tiff
e9b23766976306d2767ce72908e046075f6234ad,chore!: Bump minimum Python version to 3.10 (#122),Kyle Barron,GitHub,https://github.com/developmentseed/async-tiff/commit/e9b23766976306d2767ce72908e046075f6234ad,2,developmentseed,async-tiff
1a228e1f4c91499b5a2b62e76a59736648ec3168,"feat: update runtime versions, use uv in docker builds (#208)",Henry Rodman,GitHub,https://github.com/developmentseed/eoapi-cdk/commit/1a228e1f4c91499b5a2b62e76a59736648ec3168,6196,developmentseed,eoAPI-cdk
498e8138447e7903002bc41673e23121afc2f28b,chore(deps-dev): bump npm dependencies (#207),Henry Rodman,GitHub,https://github.com/developmentseed/eoapi-cdk/commit/498e8138447e7903002bc41673e23121afc2f28b,2197,developmentseed,eoAPI-cdk
41d6e9100c53ddf890b0b5e870e1e7434dc6add3,fix: Fix import of BaseView (#1040),Kyle Barron,GitHub,https://github.com/developmentseed/lonboard/commit/41d6e9100c53ddf890b0b5e870e1e7434dc6add3,2,developmentseed,lonboard
9eea386d0bba33a0067e7393d47727958517cbe6,chore: Bump version to 0.13 (#1039),Kyle Barron,GitHub,https://github.com/developmentseed/lonboard/commit/9eea386d0bba33a0067e7393d47727958517cbe6,4,developmentseed,lonboard
482c2ba91760b297f317513279dcf7d78964e0d4,docs: Release post for 0.13 (#1036),Kyle Barron,GitHub,https://github.com/developmentseed/lonboard/commit/482c2ba91760b297f317513279dcf7d78964e0d4,292,developmentseed,lonboard
cf2c5fe4e353c756f59e4dee56dc1a93f9ef362c,chore: Make `GlobeView` experimental (#1038),Kyle Barron,GitHub,https://github.com/developmentseed/lonboard/commit/cf2c5fe4e353c756f59e4dee56dc1a93f9ef362c,58,developmentseed,lonboard
