sha,message,author,committer,url,total_changes,organization,repository
4431adf3957272c42b741282ee92be958e9c5a32,[Geospatial]: Add CI checks for `parquet-geospatial` crate (#8390),Kyle Barron,GitHub,https://github.com/apache/arrow-rs/commit/4431adf3957272c42b741282ee92be958e9c5a32,79,apache,arrow-rs
e4d9942e4e7b4fc9e46f5da2bca3c2207496c538,[Geospatial]: Scaffolding for new `parquet-geospatial` crate (#8375),Kyle Barron,GitHub,https://github.com/apache/arrow-rs/commit/e4d9942e4e7b4fc9e46f5da2bca3c2207496c538,110,apache,arrow-rs
07b2503ec4b0f77ca834a9ef9b2f6696a609736e,Impl `Display` for `Tz` (#8275),Kyle Barron,GitHub,https://github.com/apache/arrow-rs/commit/07b2503ec4b0f77ca834a9ef9b2f6696a609736e,19,apache,arrow-rs
dfe907f652f2668c77bc97afea1b810f06edc39d,Minor: Support BinaryView and StringView builders in `make_builder` (#7931),Kyle Barron,GitHub,https://github.com/apache/arrow-rs/commit/dfe907f652f2668c77bc97afea1b810f06edc39d,2,apache,arrow-rs
cee5124a7c37d74ce84913a5410158657293eccd,Implement `Eq` and `Default` for `OffsetBuffer` (#7418),Kyle Barron,GitHub,https://github.com/apache/arrow-rs/commit/cee5124a7c37d74ce84913a5410158657293eccd,29,apache,arrow-rs
959499bbb58e10e2eb8cf8f54eb9215d4e9d1fef,Expose accessors from ArrowReaderOptions (#7400),Kyle Barron,GitHub,https://github.com/apache/arrow-rs/commit/959499bbb58e10e2eb8cf8f54eb9215d4e9d1fef,16,apache,arrow-rs
474f1924fff30d3150f7c737205bb9f903686d53,Change Parquet API interaction to use `u64` (support files larger than 4GB in WASM) (#7371),Kyle Barron,GitHub,https://github.com/apache/arrow-rs/commit/474f1924fff30d3150f7c737205bb9f903686d53,351,apache,arrow-rs
a3598a993978f9b68bd80c17d524bab4dca78f8c,Parquet: Support reading Parquet metadata via suffix range requests (#7334),Kyle Barron,GitHub,https://github.com/apache/arrow-rs/commit/a3598a993978f9b68bd80c17d524bab4dca78f8c,331,apache,arrow-rs
7a15e4b47ca97df2edef689c9f2ebd2f3888b79e,Fix LocalFileSystem with range request that ends beyond end of file (#6751),Kyle Barron,GitHub,https://github.com/apache/arrow-rs/commit/7a15e4b47ca97df2edef689c9f2ebd2f3888b79e,60,apache,arrow-rs
12a12355efa3809a3c3d6c7b12093850d372fb71,Improve docs for `AmazonS3Builder::from_env` (#6977),Kyle Barron,GitHub,https://github.com/apache/arrow-rs/commit/12a12355efa3809a3c3d6c7b12093850d372fb71,7,apache,arrow-rs
74499c0e7846cfbc498bf9fd7a2c1a4c8731c897,Return `BoxStream` with `'static` lifetime from `ObjectStore::list` (#6619),Kyle Barron,GitHub,https://github.com/apache/arrow-rs/commit/74499c0e7846cfbc498bf9fd7a2c1a4c8731c897,185,apache,arrow-rs
fbee05f22a80d2e874ded122dce0efb36ef66c8a,Add doctest example for `Buffer::from_bytes` (#6920),Kyle Barron,GitHub,https://github.com/apache/arrow-rs/commit/fbee05f22a80d2e874ded122dce0efb36ef66c8a,8,apache,arrow-rs
71c5d34191577c82fd5adf4a9e9e467c4e9b183a,Fix docstring for Format::with_header (#6856),Kyle Barron,GitHub,https://github.com/apache/arrow-rs/commit/71c5d34191577c82fd5adf4a9e9e467c4e9b183a,2,apache,arrow-rs
def94a839236f3b04727a07c378668c9ada807f0,object_store: Add support for requester pays buckets (#6768),Kyle Barron,GitHub,https://github.com/apache/arrow-rs/commit/def94a839236f3b04727a07c378668c9ada807f0,145,apache,arrow-rs
360a042f88e44f0d5218a20ec352a83a34ef67a4,Add rcpp to run based on build error,Alex I. Mandel,GitHub,https://github.com/conda-forge/r-lasr-feedstock/commit/360a042f88e44f0d5218a20ec352a83a34ef67a4,1,conda-forge,r-lasr-feedstock
25aafb1cb2605d3ffe52fe1c21b2f6b02b46adc5,Merge pull request #7 from conda-forge-admin/conda_forge_admin_6,Alex I. Mandel,GitHub,https://github.com/conda-forge/r-lasr-feedstock/commit/25aafb1cb2605d3ffe52fe1c21b2f6b02b46adc5,3,conda-forge,r-lasr-feedstock
ec248bc91c45b07bee34fd5a3ae91dc6f1afd46d,Merge pull request #5 from regro-cf-autotick-bot/0.14.0_h5675f5,Alex I. Mandel,GitHub,https://github.com/conda-forge/r-lasr-feedstock/commit/ec248bc91c45b07bee34fd5a3ae91dc6f1afd46d,18,conda-forge,r-lasr-feedstock
